
 Lista de Imóveis da Caixa;;Data de geração:;21/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555524334822 ;RJ ;ITABORAI ;MARAMBAIA (MANILHA) ;RODOVIA RJ-104, N. SN, CS 63 ;170.546,35;170.546,35;0.00;Casa, 0.00 de área total, 51.49 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524334822
 8099570018016 ;RJ ;ITABORAI ;SOSSEGO ;RUA SERGIO BITTENCOURT, N. 200, CS 19, ;104.000,00;104.000,00;0.00;Casa, 0.00 de área total, 58.89 de área privativa, 75.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8099570018016
 8444425792820 ;RJ ;ITABORAI ;SANTO ANTONIO (MANILHA) ;RUA TRINTA, N. SN, CS 02 QD 36 LT 23 ;263.000,00;263.000,00;0.00;Casa, 0.00 de área total, 78.99 de área privativa, 180.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425792820
 8787702198629 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS QUADRA, N. SN, Apto AP 2, LT 101 QD 08 BL 09 ;130.000,00;130.000,00;0.00;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702198629
 8787702494295 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS QUADRA, N. 0, Apto 403, BL 13 ;138.000,00;138.000,00;0.00;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702494295
 8787705891791 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS QUADRA, N. 0, CASA 25, QD D ;171.222,90;171.222,90;0.00;Casa, 0.00 de área total, 51.60 de área privativa, 173.06 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705891791
 8414870003240 ;RJ ;ITABORAI ;ALDEIA DA PRATA (MANILHA) ;RUA ENNES LOPES GARCIA, N. 820, UN 114 ;222.604,15;222.604,15;0.00;Casa, 0.00 de área total, 87.59 de área privativa, 257.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8414870003240
 8555527439650 ;RJ ;ITABORAI ;APOLO II (MANILHA) ;RODOVIA RJ-104, N. 763, Apto 308, BL 04 QD 24 LOT JARDIM MARAMBAIA ;123.000,00;123.000,00;0.00;Apartamento, 0.00 de área total, 46.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527439650
 8444403009910 ;RJ ;ITABORAI ;CALUGE ;RODOVIA GOVERNADOR MARIO COVAS, N. SN, CS 06, LT 06, QD B-08 ;132.000,00;132.000,00;0.00;Casa, 0.00 de área total, 69.36 de área privativa, 250.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403009910
 8787705449959 ;RJ ;ITABORAI ;BELA VISTA ;RUA DONA BELA, N. SN, Apto AP 1, BL 06 ;152.000,00;152.000,00;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705449959
 8787708023421 ;RJ ;ITABORAI ;BELA VISTA ;RUA DONA BELA, N. 0, Apto 102, BL 02 ;203.000,00;203.000,00;0.00;Apartamento, 0.00 de área total, 73.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708023421
 8787705105516 ;RJ ;ITABORAI ;NOVO HORIZONTE (MANILHA) ;ESTRADA DA BOA VISTA, N. 0, Apto 204, BL 04 ;138.667,67;138.000,00;0.00;Apartamento, 0.00 de área total, 48.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705105516
 8787711386866 ;RJ ;ITABORAI ;BELA VISTA ;RUA DONA BELA, N. SN, Apto AP 3, BL 07 ;144.732,68;143.370,63;0.00;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711386866
 1444405471800 ;RJ ;ITABORAI ;ALDEIA DA PRATA (MANILHA) ; RUA 03, N. S/N, CASA 321 QD 09 ;228.739,82;212.000,00;0.00;Casa, 0.00 de área total, 71.40 de área privativa, 255.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405471800
 8787704040402 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS QUADRA, N. 32, CS 32, QD D ;119.536,50;108.000,00;0.00;Casa, 0.00 de área total, 51.60 de área privativa, 150.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704040402
 1444407320205 ;RJ ;ITABORAI ;MONTE VERDE (MANILHA) ;RODOVIA BR-493, N. 51779, 191, GLEBA 3 ;420.000,00;371.828,55;0.00;Casa, 0.00 de área total, 133.10 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407320205
 8555538149577 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS QUADRA, N. 0, Apto 102, LT 01 QD 8 BL 04 PAV 1 ;131.710,79;116.500,00;0.00;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538149577
 8787708635834 ;RJ ;ITABORAI ;NOVO HORIZONTE (MANILHA) ;ESTRADA DA BOA VISTA, N. S/N, Apto 204, TORRE 21 ;162.553,67;140.403,18;0.00;Apartamento, 0.00 de área total, 48.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708635834
 8787701168181 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS, N. SN, Apto 101, BL 13 ;143.428,65;120.000,00;0.00;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701168181
 8787702498282 ;RJ ;ITABORAI ;ESPERANCA ;AVENIDA FLAVIO VASCONCELOS, N. 60517, Apto 404, BL 11, LT 01, QD 08 ;129.821,92;108.000,00;0.00;Apartamento, 0.00 de área total, 43.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702498282
 8444418628700 ;RJ ;ITABORAI ;RECANTO DOS MAGALHAES (CABUCU) ;ESTRADA ADEMAR FERREIRA TORRES, N. SN, CS 19, ;140.525,92;116.700,00;0.00;Casa, 0.00 de área total, 58.40 de área privativa, 190.74 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418628700
 1600000068067 ;RJ ;ITABORAI ;RIO VARZEA ;RUA AFONSO MELLO, N. S/N, LT 01 LT 02 QD 7 ;874.738,30;700.000,00;0.00;Prédio, 0.00 de área total, 161.73 de área privativa, 714.63 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000068067
 8444407014153 ;RJ ;ITABORAI ;NOVA CIDADE ;RUA LEOPOLDO CID, N. SN, CASA 01, LOTE 2272, MATR 088971.2.0039 ;260.912,58;200.000,00;0.00;Casa, 0.00 de área total, 68.06 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407014153
 8787701720429 ;RJ ;ITABORAI ;AREAL ;AVENIDA CARLOS LACERDA, N. 1165, Apto 102, BL 03 ;188.314,47;131.809,72;0.00;Apartamento, 0.00 de área total, 45.71 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701720429
 1444408323119 ;RJ ;ITABORAI ;CALUGE ; RUA 09, N. SN, QD27, LT10, CASA 10, MATR 088971.2.004 ;338.759,98;197.000,00;0.00;Casa, 0.00 de área total, 32.95 de área privativa, 294.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408323119
 8787707468799 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. SN, Apto 403, TORRE 07 ;50.826,18;124.000,00;59.02;Apartamento, 108.21 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707468799
 8444417126671 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA LILAS, N. S/N, CS 02 ;63.843,96;150.000,00;57.44;Casa, 0.00 de área total, 51.22 de área privativa, 120.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417126671
 8444414027672 ;RJ ;ITAGUAI ;VILA IBIRAPITANGA ;RUA MARIA QUITERIA, N. S/N, Apto 005, QD 76, LT 04 ;48.615,46;110.000,00;55.81;Apartamento, 34.21 de área total, 34.21 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414027672
 8444417306246 ;RJ ;ITAGUAI ;VILA IBIRAPITANGA ;AVENIDA RIO BRANCO, N. S/N, QD 159, LT 17, CS 02 ;62.784,74;138.834,26;54.78;Casa, 0.00 de área total, 63.54 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417306246
 8787704806286 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, Apto 203, TR 18 ;70.095,35;155.000,00;54.78;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704806286
 8444401787134 ;RJ ;ITAGUAI ;ENGENHO ;RUA BARAO DO RIO BRANCO, N. 14, CS13 ;49.358,86;108.296,15;54.43;Casa, 0.00 de área total, 49.91 de área privativa, 1080.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401787134
 8444421819546 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA JOSE LOPES NOBOA, N. SN, LT27 QD106 CS 02 QUINTAIS DE ITAGUAI I ;60.734,87;132.000,00;53.99;Casa, 0.00 de área total, 69.74 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421819546
 8444405311509 ;RJ ;ITAGUAI ;JARDIM MAR ;R MARLY MOREIRA DE BRITO, N. SN, CS 05, QD 22, LT10 (LOT JD ITAGUAI MAR ;59.814,65;130.000,00;53.99;Casa, 0.00 de área total, 63.74 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405311509
 1444408491070 ;RJ ;ITAGUAI ;CENTRO ;RUA BENITO JUAREZ, N. S/N, CS 01, QD Z, LT 12 ;93.171,87;202.198,26;53.93;Casa, 0.00 de área total, 75.00 de área privativa, 181.48 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408491070
 8787703778564 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 203, 2ºPAV - TORRE 03 ;54.099,23;116.457,55;53.55;Apartamento, 108.20 de área total, 47.19 de área privativa, 34984.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703778564
 8787703650045 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. SN, Apto 301, BL06 ;72.156,98;155.000,00;53.45;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703650045
 8444420394010 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA MARIA BATISTA AMORIM, N. S/N, QD 137 LT 23 A 26, CS 08 ;64.815,06;138.000,00;53.04;Casa, 0.00 de área total, 52.52 de área privativa, 80.80 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420394010
 8787703747413 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. S/N, Apto 204, TORRE 16 ;58.991,10;125.600,00;53.04;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703747413
 8787704334899 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 101, TORRE 26 ;64.815,06;138.000,00;53.04;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704334899
 8787707910033 ;RJ ;ITAGUAI ;WEDA ;RUA  VICTOR EMANUEL CICARINO, N. 1997, 101, 5, N. 1997, Apto 101, TORRE 05 - TIPO 01 ;64.815,06;138.000,00;53.04;Apartamento, 47.19 de área total, 47.19 de área privativa, 34984.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707910033
 8444411487460 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;R VIOLETAS, N. SN, LOTE 21A QUADRA 17 CASA 2 ;81.144,27;172.000,00;52.83;Casa, 0.00 de área total, 76.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411487460
 8444407525212 ;RJ ;ITAGUAI ;CALIFORNIA ;RUA NOSSA SENHORA DAS GRACAS, CS 02 LT 06 QD 121 ;83.888,03;177.815,91;52.83;Casa, 0.00 de área total, 74.25 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407525212
 8444403852944 ;RJ ;ITAGUAI ;JARDIM MAR ;RUA LAEL JOSE MAXIMO, LOT JD ITAGUAI MAR, QD 22, LT 34, CS 0 ;76.426,58;162.000,00;52.83;Casa, 0.00 de área total, 63.74 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403852944
 1444408798265 ;RJ ;ITAGUAI ;ENGENHO ;RUA SAO JOAO BATISTA, N. 82, CS 01 ;68.589,84;144.861,30;52.66;Casa, 0.00 de área total, 68.08 de área privativa, 75.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408798265
 8555507449161 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA R MIGUEL ARCANJO DA SILVA, N. 52,, N. 52, 52, ;71.240,37;150.000,00;52.51;Casa, 0.00 de área total, 42.55 de área privativa, 137.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507449161
 8787703990318 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 302, TR 24 ;66.965,94;141.000,00;52.51;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703990318
 8787706058635 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 304, BLOCO 8 ;73.615,04;155.000,00;52.51;Apartamento, 108.20 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706058635
 8787708482540 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 0, Apto 304, TORRE 22 - TIPO 01 ;67.440,88;142.000,00;52.51;Apartamento, 108.20 de área total, 47.19 de área privativa, 34984.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708482540
 8022970007935 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA JACINTO, N. SN, CS 04, QD 117 ;52.264,31;110.000,00;52.49;Casa, 0.00 de área total, 42.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8022970007935
 8444411212878 ;RJ ;ITAGUAI ;MAZOMBA ;ESTRADA ENGENHEIRO IVAN MUNDIN, N. 290, CS54 ;53.487,14;112.573,67;52.49;Casa, 0.00 de área total, 42.55 de área privativa, 152.08 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411212878
 8444401787703 ;RJ ;ITAGUAI ;ENGENHO ;RUA BARAO DO RIO BRANCO, N. 14, CASA 03 ;48.312,66;101.683,00;52.49;Casa, 0.00 de área total, 49.91 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401787703
 8444401815014 ;RJ ;ITAGUAI ;ENGENHO ;AV BARAO DO RIO BRANCO, N. 14, QD 115 LT 14 CS 04 ;50.838,92;107.000,00;52.49;Casa, 0.00 de área total, 49.91 de área privativa, 60.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401815014
 8555514513082 ;RJ ;ITAGUAI ;BRISA MAR ;RUA VINTE E SETE, N. S/N, CS 02, QD 27, LT 50 ;47.872,41;100.441,00;52.34;Casa, 0.00 de área total, 46.50 de área privativa, 55.80 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514513082
 8555514580480 ;RJ ;ITAGUAI ;VILA MARGARIDA ;RUA TRES, N. 1011, Apto 301, BL 11 AP 30 ;59.276,19;124.344,00;52.33;Apartamento, 0.00 de área total, 52.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514580480
 8787705554752 ;RJ ;ITAGUAI ;ARAPUCAIA GUASSU ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 303, TORRE 25, TIPO 01, LT 183 ;55.471,58;116.000,00;52.18;Apartamento, 108.20 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705554752
 8787705016980 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. 1997, Apto 203, BL09 ;59.775,41;125.000,00;52.18;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705016980
 8444404815490 ;RJ ;ITAGUAI ;MAZOMBA ;ESTRADA C, N. S/N, LT 25 CS 02 ;74.218,60;155.000,00;52.12;Casa, 0.00 de área total, 52.36 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404815490
 8444413060161 ;RJ ;ITAGUAI ;VILA IBIRAPITANGA ;RUA CARIJÓS, CS 01 LT 05 QD 65 ;104.617,99;217.000,00;51.79;Casa, 0.00 de área total, 64.50 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413060161
 8787704995941 ;RJ ;ITAGUAI ;WEDA ;RUA VICTOR EMANUEL CICARINO, N. S/N, Apto 102, BL 11 ;63.487,45;131.311,24;51.66;Apartamento, 0.00 de área total, 47.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704995941
 1444404152670 ;RJ ;ITAGUAI ;TEIXEIRAS ;RUA VINTE E CINCO, LOTE 2083 ;38.916,04;80.500,00;51.66;Terreno, 0.00 de área total, 0.00 de área privativa, 389.40 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404152670
 8555504394641 ;RJ ;ITAGUAI ;PARQUE PRIMAVERA ;RUA DOS CRAVOS, N. S/N, CASA 22 ;43.746,85;90.000,00;51.40;Casa, 0.00 de área total, 42.55 de área privativa, 69.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555504394641
